"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"VLO","Valero Energy Corporation","72.58","30796292204.36","n/a","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/vlo",
"VLP","Valero Energy Partners LP","42.11","2916625767.7","n/a","2013","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/vlp",
"VET","Vermilion Energy Inc.","20.89","3185635361.01","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/vet",
"VTNR","Vertex Energy, Inc","1.22","48809174.4","n/a","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/vtnr",
"VNOM","Viper Energy Partners LP","27.48","3409511090.88","n/a","2014","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/vnom",
"VOC","VOC Energy Trust","3.93","66810000","n/a","2011","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/voc",
"WTI","W&T Offshore, Inc.","4.77","663763616.46","n/a","2005","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/wti",
"HCC","Warrior Met Coal, Inc.","23.36","1232390438.4","n/a","2017","Energy","Coal Mining","https://www.nasdaq.com/symbol/hcc",
"WFT","Weatherford International plc","0.38","380350538.22","n/a","n/a","Energy","Metal Fabrications","https://www.nasdaq.com/symbol/wft",
"WPRT","Westport Fuel Systems Inc","1.65","218575694.7","n/a","n/a","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/wprt",
"WLL","Whiting Petroleum Corporation","26.36","2398617945.96","n/a","2003","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/wll",
"WRD","WildHorse Resource Development Corporation","14.81","1510556746.49","n/a","2016","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/wrd",
"WWD","Woodward, Inc.","75.35","4655248683.8","n/a","n/a","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/wwd",
"INT","World Fuel Services Corporation","22.14","1488495292.02","n/a","n/a","Energy","Oil Refining/Marketing","https://www.nasdaq.com/symbol/int",
"WPX","WPX Energy, Inc.","11.48","4824957498.2","n/a","2011","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/wpx",
"YPF","YPF Sociedad Anonima","13.66","5372652752.38","n/a","1993","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/ypf",
"YUMA","Yuma Energy, Inc.","0.1398","3249478.0674","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/yuma",
"ZN","Zion Oil & Gas Inc","0.502","32482039.516","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/zn",
"ZNWAA","Zion Oil & Gas Inc","n/a","0","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/znwaa",
